Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.58,4.45,0.8,1.24,223,182,300,149,36,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.5,4.55,0.89,1.48,212.1,31.2,326,37,29,6
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,4.7,3.82,1.23,1.28,74.2,150.2,82,186,12,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,5.86,4.17,1.67,1.23,70.2,69,68,98,9,10
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,4.12,3.82,1.19,1.28,91.2,150.2,96,186,15,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,3.98,4.45,1.34,1.24,167.1,182,140,149,23,28
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2293.76,5.25,6271,5515,1374,267,625,1421,0.249,0.329,0.451,0.781,2490,62,1100,2.58,4.91,0.8,1.3,223,161.1,300,140,36,34
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,2.63,1.23,1.11,74.2,96,82,103,12,8
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,5.595,1.34,1.37,167.1,54.65,140,41,23,10.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,6.85,1.23,1.31,74.2,23.2,82,11,12,7
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,2.63,1.34,1.11,167.1,96,140,103,23,8
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.89,0.8,1.31,223,176,300,90,36,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,3.81,0.89,1.19,212.1,144,326,141,29,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,4.55,0.89,1.305,212.1,81.55,326,74.5,29,10.5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.81,0.8,1.19,223,144,300,141,36,21
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,4.41,0.8,1.385,223,82.55,300,79,36,14
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2624.74,5.02,6255,5579,1407,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4,3.81,1.22,1.19,18,144,18,141,1,21
