Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.98,1.34,1.47,167.1,102.1,140,81,23,25
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.09,0.8,1.54,223,59.2,300,39,36,13
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,3.99,0.8,1.17,223,67.2,300,79,36,9
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.91,0.89,1.29,212.1,95.1,326,118,29,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,7.11,1.1,1.64,41,81,40,72,6,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.71,4.91,1.25,1.29,60.2,95.1,48,118,10,20
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.58,0.89,1.18,212.1,96.1,326,101,29,16
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,7.09,1.34,1.54,167.1,59.2,140,39,23,13
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,7.11,1.01,1.64,104.1,81,93.5,72,10.5,23
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.38,1.34,1.54,167.1,72,140,55,23,18
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,5.86,6.42,1.67,1.44,70.2,82.2,68,75,9,24
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,6.42,1.01,1.44,104.1,82.2,93.5,75,10.5,24
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.03,1.34,1.37,167.1,39.1,140,42,23,6
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,2.75,0.8,1.42,223,19.2,300,13,36,5
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,0,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,6.42,1.34,1.44,167.1,82.2,140,75,23,24
4.92,6146,5453,1390,205,565,1197,0.255,0.329,0.425,0.754,2319,61,1052,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,5.03,1.1,1.37,41,39.1,40,42,6,6
